timestamp,id,coal,wind
2016-11-21,575620.5,4641.503472222223,4359.736111111111
2016-11-22,575908.0,4328.473867595819,5601.961672473868
2016-11-23,576195.5,5733.489583333333,1671.5590277777778
2016-11-24,576483.5,4617.767361111111,2804.902777777778
2016-11-25,576771.5,4706.982638888889,2495.9861111111113
2016-11-26,577059.5,3507.7986111111113,777.2326388888889
2016-11-27,577347.5,2853.0416666666665,1973.3333333333333
2016-11-28,577635.5,5268.940972222223,1970.5381944444443
2016-11-29,577923.5,5895.951388888889,1811.4375
2016-11-30,578211.5,6233.822916666667,3375.0381944444443
2016-12-01,578499.5,5693.625,3214.7673611111113
2016-12-02,578787.5,6127.618055555556,566.3229166666666
2016-12-03,579075.5,4359.704861111111,1053.9340277777778
2016-12-04,579363.5,3405.2256944444443,2395.53125
2016-12-05,579651.5,6306.322916666667,1179.125
2016-12-06,579939.5,6085.618055555556,2004.3055555555557
2016-12-07,580227.5,3660.277777777778,6160.430555555556
2016-12-08,580515.5,3853.0208333333335,3885.1006944444443
2016-12-09,580802.0,3445.1754385964914,4642.501754385965
2016-12-10,581088.5,2886.222222222222,4104.458333333333
2016-12-11,581376.5,2045.5381944444443,3781.0069444444443
2016-12-12,581664.5,5285.163194444444,1534.9618055555557
2016-12-13,581952.5,5168.138888888889,2204.34375
2016-12-14,582240.5,4435.996527777777,3374.277777777778
2016-12-15,582528.5,4303.479166666667,3361.3263888888887
2016-12-16,582816.5,4401.517361111111,1401.6006944444443
2016-12-17,583104.5,3436.2881944444443,1998.2916666666667
2016-12-18,583392.5,3737.375,1473.9652777777778
2016-12-19,583680.5,6466.871527777777,1104.3541666666667
2016-12-20,583966.5,3908.8697183098593,4112.799295774648
2016-12-21,584252.5,3611.0763888888887,5759.899305555556
2016-12-22,584540.5,3637.4756944444443,5535.625
2016-12-23,584828.5,3423.90625,6439.215277777777
2016-12-24,585116.5,2114.1006944444443,6957.493055555556
2016-12-25,585401.0,2090.811387900356,6583.0818505338075
2016-12-26,585685.5,1861.642361111111,6251.815972222223
2016-12-27,585973.5,3055.25,2857.8298611111113
2016-12-28,586261.5,3800.597222222222,2354.3194444444443
2016-12-29,586544.5,3653.679856115108,3227.2625899280574
2016-12-30,586827.5,3543.9236111111113,4112.982638888889
2016-12-31,587115.5,4058.934027777778,4629.135416666667
2017-01-01,587403.5,3536.8298611111113,5108.385416666667
2017-01-02,587691.5,3971.1701388888887,3336.034722222222
2017-01-03,587976.5,4981.13829787234,5919.297872340426
2017-01-04,588261.5,5603.413194444444,4209.878472222223
2017-01-05,588549.5,5844.586805555556,1868.7708333333333
2017-01-06,588837.5,5982.232638888889,3649.2881944444443
2017-01-07,589125.5,5580.385416666667,1223.4479166666667
2017-01-08,589413.5,4300.121527777777,1579.3854166666667
2017-01-09,589701.5,4654.569444444444,5996.15625
2017-01-10,589989.0,5560.156794425087,6207.491289198606
2017-01-11,590276.5,5689.368055555556,7250.25
2017-01-12,590564.5,6783.861111111111,5617.538194444444
2017-01-13,590851.0,7222.41403508772,6784.347368421053
2017-01-14,591137.5,6421.510416666667,4397.270833333333
